Country, Category
CHN,BRICS 
BRA,BRICS  
EGY,BRICS 
ETH,BRICS 
IND,BRICS 
IRN,BRICS 
RUS,BRICS 
ZAF,BRICS 
ARE,BRICS 
_,NOT_BRICS
