Country,A/HRC/RES/34/26,A/HRC/RES/34/27,A/HRC/RES/35/26,A/HRC/RES/36/20
ALB,1,0,1,1
ARE,1,1,1,1
BDI,0,1,0,0
BEL,1,0,1,1
BGD,0,1,0,0
BOL,0,1,0,0
BRA,1,1,1,1
BWA,1,0,1,1
CHE,1,0,1,1
CHN,0,1,0,0
CIV,1,1,1,1
COG,0,0,0,0
CUB,0,1,0,0
DEU,1,0,1,1
ECU,0,1,0,0
EGY,0,1,0,0
ETH,0,1,0,0
GBR,1,0,1,1
GEO,1,0,1,1
GHA,1,1,1,1
HRV,1,0,1,1
HUN,1,0,1,1
IDN,0,1,0,0
IND,0,1,0,0
IRQ,0,1,0,0
JPN,1,0,1,1
KEN,0,1,0,0
KGZ,0,1,0,0
KOR,1,0,1,1
LVA,1,0,1,1
MNG,0,1,0,0
NGA,0,1,0,0
NLD,1,0,1,1
PAN,1,0,1,1
PHL,0,1,0,0
PRT,1,0,1,1
PRY,1,0,1,1
QAT,1,1,1,1
RWA,1,0,1,1
SAU,1,1,1,1
SLV,1,1,1,1
SVN,1,0,1,1
TGO,1,0,1,1
TUN,0,1,0,0
USA,1,0,1,1
VEN,0,1,0,0
ZAF,0,1,0,0
