Resolution,Date,Summary
A/HRC/RES/31/17,2016/03/23,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/31/36,2016/03/24,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/32/25,2016/07/01,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/33/23,2016/09/30,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/S-25/1,2016/10/21,"The deteriorating situation of human rights in the Syrian Arab Republic, and the recent situation in Aleppo :resolution /adopted by the Human Rights Council at its 25th special session"
