Country,A/HRC/RES/49/27,A/HRC/RES/49/29,A/HRC/RES/49/30,A/HRC/RES/50/19,A/HRC/RES/51/26
ARE,0,1,1,0,0
ARG,1,1,1,1,1
ARM,0,1,1,0,0
BEN,1,1,1,1,1
BOL,0,1,1,0,0
BRA,0,0,0,0,0
CHN,0,1,1,0,0
CIV,1,1,1,1,1
CMR,3,0,0,0,0
CUB,0,1,1,0,0
CZE,4,4,4,1,1
DEU,1,1,0,1,1
ERI,0,1,1,0,0
FIN,1,1,0,1,1
FRA,1,1,0,1,1
GAB,1,1,1,1,1
GBR,1,0,0,1,1
GMB,0,1,1,1,1
HND,1,0,0,1,1
IDN,0,1,1,0,0
IND,0,1,1,0,0
JPN,1,1,0,1,1
KAZ,0,1,1,0,0
KOR,1,1,0,1,1
LBY,0,1,1,4,0
LTU,1,0,0,1,1
LUX,1,1,0,1,1
MEX,1,1,1,1,1
MHL,1,0,0,1,1
MNE,1,1,0,1,1
MRT,0,1,1,0,0
MWI,1,0,0,1,1
MYS,0,1,1,0,0
NAM,0,1,1,0,0
NLD,1,1,0,1,1
NPL,0,1,1,0,0
PAK,0,1,1,0,0
POL,1,1,0,1,1
PRY,1,1,1,1,1
QAT,1,1,1,1,1
RUS,0,1,1,4,4
SDN,0,1,1,0,0
SEN,0,1,1,0,0
SOM,0,1,1,0,0
UKR,1,0,0,1,1
USA,1,0,0,1,1
UZB,0,1,1,0,0
VEN,0,1,1,0,0
