Country,A/HRC/RES/13/5,A/HRC/RES/13/7
AGO,1,1
ARG,1,1
BEL,0,1
BFA,1,1
BGD,1,1
BHR,1,1
BIH,0,1
BOL,1,1
BRA,1,1
CHL,1,1
CHN,1,1
CMR,0,1
CUB,1,1
DJI,1,1
EGY,1,1
FRA,0,1
GAB,0,1
GBR,0,1
GHA,1,1
HUN,0,1
IDN,1,1
IND,1,1
ITA,0,1
JOR,1,1
JPN,0,1
KGZ,1,1
KOR,0,1
MDG,1,1
MEX,1,1
MUS,1,1
NGA,1,1
NIC,1,1
NLD,0,1
NOR,0,1
PAK,1,1
PHL,1,1
QAT,1,1
RUS,1,1
SAU,1,1
SEN,1,1
SVK,0,1
SVN,0,1
UKR,0,1
URY,1,1
USA,0,0
ZAF,1,1
ZMB,1,1
