Country,A/HRC/RES/46/22,A/HRC/RES/46/24,A/HRC/RES/46/26,A/HRC/RES/47/18,A/HRC/RES/48/15
ARG,1,1,1,1,1
ARM,0,1,1,0,0
AUT,1,0,0,1,1
BFA,0,1,1,0,0
BGD,0,1,1,0,0
BGR,1,0,0,1,1
BHR,0,1,1,0,0
BHS,1,1,0,1,1
BOL,0,1,1,0,0
BRA,1,0,0,1,0
CHN,0,1,1,0,0
CIV,1,1,1,1,1
CMR,0,0,0,0,0
CUB,0,1,1,0,0
CZE,1,0,0,1,1
DEU,1,0,1,1,1
DNK,1,0,1,1,1
ERI,0,1,1,0,0
FJI,1,0,1,1,1
FRA,1,0,1,1,1
GAB,1,1,1,1,1
GBR,1,0,0,1,1
IDN,0,1,1,0,0
IND,0,1,1,0,0
ITA,1,0,1,1,1
JPN,1,0,1,1,1
KOR,1,0,1,1,1
LBY,1,1,1,1,0
MEX,1,1,1,1,1
MHL,1,0,0,1,1
MRT,0,1,1,0,0
MWI,1,0,0,1,1
NAM,0,1,1,0,0
NLD,1,0,1,1,1
NPL,0,1,1,0,0
PAK,0,1,1,0,0
PHL,1,0,1,0,0
POL,1,0,1,1,1
RUS,0,1,1,0,0
SDN,0,1,1,0,0
SEN,0,1,1,0,0
SOM,1,1,1,1,0
TGO,1,0,0,1,1
UKR,1,0,0,1,1
URY,1,0,1,1,1
UZB,0,1,1,0,0
VEN,0,1,1,0,0
