Country,A/HRC/RES/55/22,A/HRC/RES/55/31,A/HRC/RES/55/32,A/HRC/RES/57/21
ALB,1,0,0,1
ARE,0,1,1,0
ARG,1,0,0,1
BDI,0,1,1,0
BEL,1,0,1,1
BEN,1,1,1,1
BGD,0,1,1,0
BGR,1,0,0,1
BRA,0,1,1,0
CHL,1,1,1,1
CHN,0,1,1,0
CIV,1,1,1,1
CMR,0,0,0,0
CRI,1,1,1,1
CUB,0,1,1,0
DEU,1,0,0,1
DOM,1,1,1,1
DZA,0,1,1,0
ERI,0,1,1,0
FIN,1,0,1,1
FRA,1,0,1,1
GEO,1,0,0,1
GHA,1,1,1,1
GMB,1,1,1,1
HND,1,1,1,1
IDN,0,1,1,0
IND,0,1,1,0
JPN,1,0,1,1
KAZ,0,1,1,0
KGZ,0,1,1,0
KWT,1,1,1,0
LTU,1,0,0,1
LUX,1,0,1,1
MAR,0,1,1,0
MDV,0,1,1,0
MNE,1,0,1,1
MWI,1,0,0,1
MYS,0,1,1,0
NLD,1,0,1,1
PRY,1,0,0,1
QAT,1,1,1,1
ROU,1,0,0,1
SDN,0,1,1,0
SOM,0,1,1,0
USA,1,0,0,1
VNM,0,1,1,0
ZAF,0,1,1,0
