Country,A/HRC/RES/40/17,A/HRC/RES/40/21,A/HRC/RES/40/24,A/HRC/RES/41/23,A/HRC/RES/42/27
AFG,1,1,1,0,0
AGO,0,1,1,0,0
ARG,1,1,1,1,1
AUS,1,0,0,1,1
AUT,1,0,0,1,1
BFA,1,1,1,0,0
BGD,0,1,1,0,0
BGR,1,0,0,1,1
BHR,0,1,1,0,0
BHS,1,1,1,1,1
BRA,1,0,0,1,1
CHL,1,1,1,1,1
CHN,0,1,1,0,0
CMR,0,0,0,0,3
COD,0,0,0,0,0
CUB,0,1,1,0,0
CZE,1,0,0,1,1
DNK,1,0,0,1,1
EGY,0,1,1,0,0
ERI,0,1,1,0,0
ESP,1,0,1,1,1
FJI,1,0,1,1,1
GBR,1,0,0,1,1
HRV,1,0,0,1,1
HUN,1,0,0,1,1
IND,0,1,1,0,0
IRQ,0,1,1,0,0
ISL,1,0,1,1,1
ITA,1,0,1,1,1
JPN,1,0,1,1,1
MEX,1,1,1,1,1
NGA,0,1,1,0,0
NPL,0,1,1,0,0
PAK,0,1,1,0,0
PER,1,1,1,1,1
PHL,0,1,1,0,0
QAT,1,1,1,1,1
RWA,1,0,0,1,1
SAU,1,1,1,1,1
SEN,0,1,1,0,0
SOM,0,0,1,0,1
SVK,1,0,0,1,1
TGO,1,0,0,1,1
TUN,0,1,1,0,0
UKR,1,0,0,1,1
URY,1,1,1,1,1
ZAF,0,1,1,0,0
