Country,A/HRC/25/L.46,A/HRC/25/L.47,A/HRC/RES/25/1,A/HRC/RES/25/4,A/HRC/RES/25/9,A/HRC/RES/25/15,A/HRC/RES/25/16,A/HRC/RES/25/22,A/HRC/RES/25/30,A/HRC/26/L.34,A/HRC/26/L.35,A/HRC/26/L.36,A/HRC/26/L.37,A/HRC/RES/26/2,A/HRC/RES/26/6,A/HRC/RES/26/9,A/HRC/RES/26/11,A/HRC/RES/26/16,A/HRC/RES/26/23,A/HRC/RES/26/25,A/HRC/RES/26/26,A/HRC/RES/26/30,A/HRC/RES/S-21/1,A/HRC/27/L.33,A/HRC/27/L.44,A/HRC/27/L.34,A/HRC/27/L.35,A/HRC/27/L.36,A/HRC/27/L.38,A/HRC/27/L.39,A/HRC/27/L.40,A/HRC/27/L.41,A/HRC/27/L.42,A/HRC/27/L.43,A/HRC/27/L.45,A/HRC/27/L.46,A/HRC/27/L.47,A/HRC/27/L.48,A/HRC/27/L.49,A/HRC/27/L.50,A/HRC/27/L.51,A/HRC/RES/27/2,A/HRC/RES/27/9,A/HRC/RES/27/10,A/HRC/RES/27/16,A/HRC/RES/27/17,A/HRC/RES/27/21,A/HRC/RES/27/30,A/HRC/RES/27/32
JPN,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
KAZ,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
KEN,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,3,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
KOR,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
KWT,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MAR,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MDV,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MEX,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
MKD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MNE,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
NAM,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
PAK,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
PER,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
PHL,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
ROU,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
RUS,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
SAU,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SLE,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
USA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
VEN,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,1,1,1,0,0,1,0,1,0,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,0,1,1,1,1
VNM,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1
ZAF,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
