Country,A/HRC/RES/43/2,A/HRC/RES/43/3,A/HRC/RES/43/10,A/HRC/RES/43/15,A/HRC/RES/43/21,A/HRC/RES/43/24,A/HRC/RES/43/26,A/HRC/RES/43/28,A/HRC/RES/43/30,A/HRC/RES/43/31,A/HRC/RES/43/32,A/HRC/RES/43/33,A/HRC/RES/43/37,A/HRC/DEC/43/117,A/HRC/RES/44/1,A/HRC/RES/44/11,A/HRC/RES/44/14,A/HRC/RES/44/18,A/HRC/RES/44/19,A/HRC/RES/44/21,A/HRC/RES/44/23,A/HRC/44/L.30,A/HRC/44/L.31,A/HRC/44/L.32,A/HRC/44/L.33,A/HRC/44/L.34,A/HRC/44/L.24,A/HRC/44/L.25,A/HRC/44/L.26,A/HRC/RES/45/1,A/HRC/45/L.2,A/HRC/45/L.3,A/HRC/45/L.4,A/HRC/45/L.5,A/HRC/45/L.6,A/HRC/45/L.7,A/HRC/45/L.8,A/HRC/45/L.9,A/HRC/45/L.10,A/HRC/45/L.11,A/HRC/45/L.12,A/HRC/45/L.13,A/HRC/45/L.14,A/HRC/45/L.15,A/HRC/45/L.16,A/HRC/45/L.17,A/HRC/45/L.18,A/HRC/RES/45/2,A/HRC/RES/45/4,A/HRC/RES/45/5,A/HRC/RES/45/6,A/HRC/RES/45/14,A/HRC/RES/45/15,A/HRC/RES/45/19,A/HRC/RES/45/20,A/HRC/RES/45/21,A/HRC/RES/45/31,A/HRC/45/L.64
NGA,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
NLD,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
NPL,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
PAK,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1
PER,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0
PHL,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
POL,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
QAT,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
SDN,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
SEN,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
SOM,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
SVK,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
TGO,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0
UKR,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0
URY,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
VEN,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,3,3,3,3,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3
