"","coord1D","se1D"
"FRA",-1,0
"MKD",-1,0
"USA",-1,0
"CZE",-0.966,0
"AUT",-0.96,0
"ROU",-0.957,0
"ESP",-0.956,0
"EST",-0.956,0
"MNE",-0.956,0
"ITA",-0.954,0
"POL",-0.946,0
"MDA",-0.933,0
"GBR",-0.81,0
"LVA",-0.776,0
"DEU",-0.763,0
"NLD",-0.747,0
"ALB",-0.745,0
"GEO",-0.657,0
"HRV",-0.649,0
"SVN",-0.645,0
"JPN",-0.574,0
"KOR",-0.571,0
"IRL",-0.525,0
"PRT",-0.52,0
"CHE",-0.513,0
"BEL",-0.489,0
"HUN",-0.438,0
"CRI",-0.137,0
"MEX",-0.127,0
"PAN",-0.116,0
"CHL",-0.078,0
"PER",-0.069,0
"GTM",-0.036,0
"ARG",-0.021,0
"PRY",-0.016,0
"MNG",0.047,0
"AGO",0.052,0
"GHA",0.068,0
"BRA",0.087,0
"BEN",0.102,0
"RWA",0.105,0
"SLV",0.118,0
"SLE",0.119,0
"THA",0.131,0
"TUN",0.139,0
"BFA",0.233,0
"CIV",0.247,0
"BWA",0.248,0
"TGO",0.253,0
"MDV",0.276,0
"GAB",0.336,0
"MAR",0.361,0
"PHL",0.375,0
"NAM",0.38,0
"ZAF",0.423,0
"ECU",0.472,0
"KEN",0.52,0
"LBY",0.591,0
"QAT",0.603,0
"IRQ",0.647,0
"COG",0.653,0
"KAZ",0.658,0
"ARE",0.688,0
"SAU",0.69,0
"ETH",0.692,0
"MRT",0.7,0
"KWT",0.701,0
"MYS",0.712,0
"IDN",0.721,0
"KGZ",0.737,0
"BGD",0.764,0
"NGA",0.766,0
"DZA",0.776,0
"IND",0.845,0
"EGY",0.988,0
"PAK",0.989,0
"BDI",1,0
"BOL",1,0
"CHN",1,0
"CUB",1,0
"RUS",1,0
"UGA",1,0
"VEN",1,0
"VNM",1,0
