Country,A/HRC/RES/55/28,A/HRC/RES/55/30,A/HRC/RES/55/32
ALB,0,0,0
ARE,1,1,1
ARG,0,0,0
BDI,1,1,1
BEL,1,1,1
BEN,0,1,1
BGD,1,1,1
BGR,0,1,0
BRA,1,1,1
CHL,1,1,1
CHN,1,1,1
CIV,1,1,1
CMR,0,0,0
CRI,0,1,1
CUB,1,1,1
DEU,0,1,0
DOM,0,1,1
DZA,1,1,1
ERI,1,1,1
FIN,1,1,1
FRA,0,1,1
GEO,0,1,0
GHA,1,1,1
GMB,1,1,1
HND,1,1,1
IDN,1,1,1
IND,0,1,1
JPN,0,1,1
KAZ,1,1,1
KGZ,1,1,1
KWT,1,1,1
LTU,0,1,0
LUX,1,1,1
MAR,1,1,1
MDV,1,1,1
MNE,0,1,1
MWI,0,1,0
MYS,1,1,1
NLD,0,1,1
PRY,0,0,0
QAT,1,1,1
ROU,0,1,0
SDN,1,1,1
SOM,1,1,1
USA,0,0,0
VNM,1,1,1
ZAF,1,1,1
