Resolution,Date,Summary
A/HRC/RES/34/28,2017/03/24,"Ensuring accountability and justice for all violations of international law in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 34th session"
A/HRC/RES/34/29,2017/03/24,Right of the Palestinian people to self-determination :resolution /adopted by the Human Rights Council at its 34th session
A/HRC/RES/34/30,2017/03/24,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 34th session"
A/HRC/RES/34/31,2017/03/24,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 34th session"
