Country,A/HRC/RES/52/3,A/HRC/RES/52/34,A/HRC/RES/52/35
ARE,1,1,1
ARG,1,1,1
BEL,1,1,1
BEN,1,1,1
BGD,1,1,1
BOL,1,1,1
CHL,1,1,1
CHN,1,1,1
CIV,1,1,1
CMR,0,0,0
CRI,1,1,1
CUB,1,1,1
CZE,0,0,0
DEU,1,1,1
DZA,1,1,1
ERI,1,1,1
FIN,1,1,1
FRA,1,1,1
GAB,1,1,1
GBR,0,0,0
GEO,0,1,0
GMB,1,1,1
HND,1,1,1
IND,0,1,1
KAZ,1,1,1
KGZ,1,1,1
LTU,1,0,0
LUX,1,1,1
MAR,1,1,1
MDV,1,1,1
MEX,1,1,1
MNE,1,1,1
MWI,0,1,0
MYS,1,1,1
NPL,0,1,1
PAK,1,1,1
PRY,1,1,1
QAT,1,1,1
ROU,1,0,0
SDN,1,1,1
SEN,1,1,1
SOM,1,1,1
UKR,0,1,0
USA,0,0,0
UZB,1,1,1
VNM,0,1,1
ZAF,1,1,1
