Country,A/HRC/RES/34/28,A/HRC/RES/34/29,A/HRC/RES/34/30,A/HRC/RES/34/31
ALB,0,1,1,0
ARE,1,1,1,1
BDI,1,1,1,1
BEL,1,1,1,1
BGD,1,1,1,1
BOL,1,1,1,1
BRA,1,1,1,1
BWA,1,1,1,1
CHE,1,1,1,1
CHN,1,1,1,1
CIV,1,1,1,1
COG,1,1,0,1
CUB,1,1,1,1
DEU,0,1,1,1
ECU,1,1,1,1
EGY,1,1,1,1
ETH,0,1,1,1
GBR,0,1,1,0
GEO,0,1,1,0
GHA,1,1,1,1
HRV,0,1,1,0
HUN,0,1,1,0
IDN,1,1,1,1
IND,0,1,1,1
IRQ,1,1,1,1
JPN,0,1,1,1
KEN,0,1,1,1
KGZ,1,1,1,1
KOR,1,1,1,1
LVA,0,1,1,0
MNG,1,1,1,1
NGA,1,1,1,1
NLD,0,1,1,1
PAN,0,0,0,0
PHL,1,1,1,1
PRT,1,1,1,1
PRY,0,0,0,0
QAT,1,1,1,1
RWA,0,1,0,0
SAU,1,1,1,1
SLV,1,1,1,1
SVN,1,1,1,1
TGO,0,0,0,0
TUN,1,1,1,1
USA,0,0,0,0
VEN,1,1,1,1
ZAF,1,1,1,1
