Country,A/HRC/RES/31/34,A/HRC/RES/31/35,A/HRC/RES/31/36
ALB,1,0,0
ARE,1,1,1
BDI,1,1,1
BEL,1,1,0
BGD,1,1,1
BOL,1,1,1
BWA,0,0,1
CHE,1,1,1
CHN,1,1,1
CIV,1,0,1
COG,1,0,1
CUB,1,1,1
DEU,1,0,0
DZA,1,1,1
ECU,1,1,1
ETH,1,0,1
FRA,1,1,0
GBR,1,0,0
GEO,1,0,0
GHA,0,0,0
IDN,1,1,1
IND,1,0,1
KEN,1,1,1
KGZ,1,1,1
KOR,1,0,0
LVA,1,0,0
MAR,1,1,1
MDV,1,1,1
MEX,1,1,1
MKD,0,1,0
MNG,1,1,1
NAM,1,1,1
NGA,1,1,1
NLD,1,0,0
PAN,1,1,1
PHL,1,1,1
PRT,1,1,0
PRY,0,0,0
QAT,1,1,1
RUS,1,1,1
SAU,1,1,1
SLV,1,1,1
SVN,1,1,0
TGO,0,0,0
VEN,1,1,1
VNM,1,1,1
ZAF,1,1,1
