Resolution,Date,Summary
A/HRC/RES/40/13,2019/03/22,"Ensuring accountability and justice for all violations of international law in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 40th session"
A/HRC/RES/40/22,2019/03/22,Right of the Palestinian people to self-determination  :resolution /adopted by the Human Rights Council at its 40th session
A/HRC/RES/40/23,2019/03/22,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 40th session"
A/HRC/RES/40/24,2019/03/22,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 40th session"
