Country,A/HRC/RES/16/29,A/HRC/RES/16/30,A/HRC/RES/16/31
AGO,1,1,1
ARG,1,1,1
BEL,0,1,1
BFA,1,1,1
BGD,1,1,1
BHR,1,1,1
BRA,1,1,1
CHE,1,1,4
CHL,1,1,1
CHN,1,1,1
CMR,0,1,1
CUB,1,1,1
DJI,1,1,1
ECU,1,1,1
ESP,0,1,1
FRA,0,1,1
GAB,1,1,1
GBR,0,1,1
GHA,1,1,1
GTM,0,1,1
HUN,0,1,1
JOR,1,1,1
JPN,0,1,1
KGZ,1,1,1
KOR,0,1,1
LBY,3,3,3
MDA,0,1,1
MDV,1,1,1
MEX,1,1,1
MRT,1,1,1
MUS,1,1,1
MYS,1,1,1
NGA,1,1,1
NOR,0,1,1
PAK,1,1,1
POL,0,1,1
QAT,1,1,1
RUS,1,1,1
SAU,1,1,1
SEN,1,1,1
SVK,0,1,4
SVN,4,4,1
SWZ,4,4,1
THA,1,1,1
UGA,1,1,1
UKR,0,1,1
URY,1,1,1
USA,0,0,0
ZMB,0,1,1
