Country,A/HRC/RES/19/15,A/HRC/RES/19/16,A/HRC/RES/19/17
AGO,1,1,1
AUT,1,1,1
BEL,1,1,1
BEN,1,1,1
BFA,1,1,1
BGD,1,1,1
BWA,1,1,1
CHE,1,1,1
CHL,1,1,1
CHN,1,1,1
CMR,1,0,0
COG,1,1,1
CRI,1,1,0
CUB,1,1,1
CZE,1,1,0
DJI,1,1,1
ECU,1,1,1
ESP,1,1,0
GTM,1,0,0
HUN,1,1,0
IDN,1,1,1
IND,1,1,1
ITA,1,1,0
JOR,1,1,1
KGZ,1,1,1
KWT,1,1,1
LBY,1,1,1
MDA,1,1,0
MDV,1,1,1
MEX,1,1,1
MRT,1,1,1
MUS,1,1,1
MYS,1,1,1
NGA,1,1,1
NOR,1,1,1
PER,1,1,1
PHL,1,1,1
POL,1,1,0
QAT,1,1,1
ROU,1,1,0
RUS,1,1,1
SAU,1,1,1
SEN,1,1,1
THA,1,1,1
UGA,1,1,1
URY,1,1,1
USA,0,0,0
