Country,A/HRC/RES/28/25,A/HRC/RES/28/26,A/HRC/RES/28/27,A/HRC/RES/29/25
ALB,1,1,1,1
ARE,1,1,1,1
ARG,1,1,1,1
BGD,1,1,1,1
BOL,1,1,1,1
BRA,1,1,1,1
BWA,1,1,0,1
CHN,1,1,1,1
CIV,1,1,1,1
COG,1,1,1,1
CUB,1,1,1,1
DEU,1,1,1,1
DZA,1,1,1,1
EST,1,1,1,1
ETH,1,1,1,0
FRA,1,1,1,1
GAB,1,1,1,1
GBR,1,1,1,1
GHA,0,1,1,1
IDN,1,1,1,1
IND,1,1,1,0
IRL,1,1,1,1
JPN,1,1,1,1
KAZ,1,1,1,1
KEN,1,1,1,0
KOR,1,1,1,1
LVA,1,1,1,1
MAR,1,1,1,1
MDV,1,1,1,1
MEX,1,1,1,1
MKD,1,1,0,0
MNE,1,1,1,1
NAM,1,1,1,1
NGA,1,1,1,1
NLD,1,1,1,1
PAK,1,1,1,1
PRT,1,1,1,1
PRY,1,0,0,0
QAT,1,1,1,1
RUS,1,1,1,1
SAU,1,1,1,1
SLE,1,1,1,1
SLV,1,1,1,1
USA,0,0,0,0
VEN,1,1,1,1
VNM,1,1,1,1
ZAF,1,1,1,1
