Country,A/HRC/RES/43/3,A/HRC/RES/43/31,A/HRC/RES/43/32,A/HRC/RES/43/33
AFG,1,1,1,1
AGO,1,1,1,1
ARG,1,1,1,1
ARM,1,1,1,1
AUS,0,0,0,0
AUT,0,0,1,1
BFA,1,1,1,1
BGD,1,1,1,1
BGR,0,0,1,1
BHR,1,1,1,1
BHS,0,1,1,1
BRA,0,0,1,1
CHL,1,1,1,1
CMR,0,0,0,0
COD,0,0,0,0
CZE,0,0,1,1
DEU,0,1,1,1
DNK,0,1,1,1
ERI,1,1,1,1
ESP,0,1,1,1
FJI,0,1,1,1
IDN,1,1,1,1
IND,0,1,1,1
ITA,0,1,1,1
JPN,0,1,1,1
KOR,0,1,1,1
LBY,1,1,1,1
MEX,1,1,1,1
MHL,0,0,0,0
MRT,1,1,1,1
NAM,1,1,1,1
NGA,1,1,1,1
NLD,0,1,1,1
NPL,0,1,1,1
PAK,1,1,1,1
PER,1,1,1,1
PHL,0,1,1,1
POL,0,1,1,1
QAT,1,1,1,1
SDN,1,1,1,1
SEN,1,1,1,1
SOM,1,1,1,1
SVK,0,0,1,1
TGO,0,0,0,1
UKR,0,0,1,1
URY,0,1,1,1
VEN,1,1,1,1
