Resolution,Date,Summary
A/HRC/RES/31/34,2016/03/24,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/35,2016/03/24,"Ensuring accountability and justice for all violations of international law in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/36,2016/03/24,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 31st session"
