Country,A/HRC/RES/22/26,A/HRC/RES/22/27,A/HRC/RES/22/28,A/HRC/RES/22/29
AGO,1,1,1,1
ARE,1,1,1,1
ARG,1,1,1,1
AUT,1,1,1,1
BEN,1,1,1,1
BFA,1,1,1,1
BRA,1,1,1,1
BWA,1,1,1,1
CHE,1,1,1,1
CHL,1,1,1,1
CIV,0,1,1,1
COG,1,1,1,1
CRI,1,1,1,1
CZE,1,1,1,1
DEU,1,1,1,1
ECU,1,1,1,1
ESP,1,1,1,1
EST,1,1,1,1
ETH,1,1,1,3
GAB,1,1,1,1
GTM,1,1,1,1
IDN,1,1,1,1
IND,1,1,1,1
IRL,1,1,1,1
ITA,1,1,1,1
JPN,1,1,1,1
KAZ,1,1,1,1
KEN,0,1,1,1
KOR,1,1,1,1
KWT,1,1,1,1
LBY,1,1,1,1
MDA,1,1,1,1
MDV,1,1,1,1
MNE,1,1,1,1
MRT,1,1,1,1
MYS,1,1,1,1
PAK,1,1,1,1
PER,1,1,1,1
PHL,1,1,1,1
POL,1,1,1,1
QAT,1,1,1,1
ROU,1,1,1,1
SLE,1,1,1,1
THA,1,1,1,1
UGA,1,1,1,1
USA,0,0,0,0
VEN,1,1,1,1
