Country,A/HRC/RES/52/1,A/HRC/RES/52/2,A/HRC/RES/52/3,A/HRC/RES/52/13,A/HRC/RES/52/17,A/HRC/RES/52/21,A/HRC/RES/52/27,A/HRC/RES/52/29,A/HRC/RES/52/30,A/HRC/RES/52/32,A/HRC/RES/52/33,A/HRC/RES/52/34,A/HRC/RES/52/35,A/HRC/RES/52/37,A/HRC/RES/52/40,A/HRC/RES/S-36/1,A/HRC/RES/53/1,A/HRC/RES/53/2,A/HRC/RES/53/5,A/HRC/RES/53/11,A/HRC/RES/53/18,A/HRC/RES/53/19,A/HRC/RES/53/22,A/HRC/RES/53/25,A/HRC/RES/53/28,A/HRC/RES/53/30,A/HRC/RES/54/2,A/HRC/RES/54/3,A/HRC/RES/54/4,A/HRC/RES/54/9,A/HRC/RES/54/15,A/HRC/RES/54/18,A/HRC/RES/54/20,A/HRC/RES/54/23,A/HRC/RES/54/27,A/HRC/RES/54/35
PAK,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0
PRY,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
QAT,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0
ROU,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1
SDN,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0
SEN,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0
SOM,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0
UKR,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1
USA,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0
UZB,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1
VNM,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0
ZAF,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1
