Country,A/HRC/RES/S-17/1,A/HRC/RES/18/4,A/HRC/RES/18/5,A/HRC/RES/18/6,A/HRC/RES/18/20,A/HRC/RES/18/26,A/HRC/RES/18/27,A/HRC/RES/S-18/1,A/HRC/RES/19/1,A/HRC/RES/19/2,A/HRC/RES/19/3,A/HRC/RES/19/12,A/HRC/RES/19/14,A/HRC/RES/19/15,A/HRC/RES/19/16,A/HRC/RES/19/17,A/HRC/RES/19/18,A/HRC/RES/19/22,A/HRC/RES/19/32,A/HRC/RES/19/34,A/HRC/RES/19/36,A/HRC/RES/19/38,A/HRC/RES/S-19/1,A/HRC/RES/20/10,A/HRC/RES/20/13,A/HRC/RES/20/15,A/HRC/RES/20/22,A/HRC/RES/21/3,A/HRC/RES/21/8,A/HRC/RES/21/9,A/HRC/RES/21/10,A/HRC/RES/21/19,A/HRC/RES/21/26,A/HRC/RES/21/32,A/HRC/RES/21/33
MUS,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
MYS,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
NGA,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
NOR,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1
PER,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
PHL,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,3,1,1,1,1,3,1,1,1,0,1,1,1,1,1,0,1,1
POL,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
QAT,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
ROU,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
RUS,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1
SAU,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,0,1,1,1
SEN,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
THA,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
UGA,0,1,1,1,1,1,1,0,3,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1
URY,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
USA,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
