Resolution,Date,Summary
A/HRC/RES/6/3,2007/09/27,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 6th session
A/HRC/RES/6/7,2007/09/28,Human rights and unilateral coercive measures :resolution /adopted by the Human Rights Council at its 6th session
A/HRC/RES/6/19,2007/09/28,"Religious and cultural rights in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 6th session"
A/HRC/RES/6/21,2007/09/28,Elaboration of international complementary standards to the International Convention on the Elimination of All Forms of Racial Discrimination :resolution /adopted by the Human Rights Council at its 6th session
A/HRC/RES/6/22,2007/09/28,"From rhetoric to reality : a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance :resolution /adopted by the Human Rights Council at its 6th session"
A/HRC/RES/6/23,2007/09/28,Preparations for the Durban Review Conference :resolution /adopted by the Human Rights Council at its 6th session
A/HRC/RES/6/37,2007/12/14,Elimination of all forms of intolerance and of discrimination based on religion or belief :resolution /adopted by the Human Rights Council at its 6th session
A/HRC/RES/S-6/1,2008/01/24,"Human rights violations emanating from Israeli military attacks and incursions in the Occupied Palestinian Territory, particularly in the occupied Gaza Strip :resolution /adopted by the Human Rights Council at its 6th special session"
A/HRC/RES/7/1,2008/03/06,"Human rights violations emanating from Israeli military attacks and incursions in the Occupied Palestinian territory, particularly the recent ones in the occupied Gaza Strip :resolution /adopted by the Human Rights Council at its 7th session"
A/HRC/RES/7/2,2008/03/27,Composition of the staff of the Office of the United Nations High Commissioner for Human Rights :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/7/4,2008/03/27,"Mandate of the independent expert on the effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 7th session"
A/HRC/RES/7/5,2008/03/27,Mandate of the independent expert on human rights and international solidarity :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/7/11,2008/03/27,The role of good governance in the promotion and protection of human rights :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/7/15,2008/03/27,Situation of human rights in the Democratic People’s Republic of Korea :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/7/18,2008/03/27,"Israeli settlements in the Occupied Territory, including East Jerusalem, occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 7th session"
A/HRC/RES/7/19,2008/03/27,Combating defamation of religions :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/7/21,2008/03/28,Mandate of the Working Group on the use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/7/30,2008/03/28,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/7/33,2008/03/28,"From rhetoric to reality : a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance :resolution /adopted by the Human Rights Council at its 7th session"
A/HRC/RES/7/36,2008/03/28,Mandate of the Special Rapporteur on the promotion and protection of the right to freedom of opinion and expression :resolution /adopted by the Human Rights Council at its 7th session
A/HRC/RES/8/5,2008/06/18,Promotion of a democratic and equitable international order :resolution /adopted by the Human Rights Council at its 8th session
A/HRC/RES/8/9,2008/06/18,Promotion on the right of peoples to peace :resolution /adopted by the Human Rights Council at its 8th session
