Country,A/HRC/RES/1/2,A/HRC/RES/S-1/1,A/HRC/RES/S-2/1,A/HRC/RES/S-3/1,A/HRC/RES/2/1,A/HRC/RES/2/3,A/HRC/RES/2/4,A/HRC/RES/3/1,A/HRC/RES/3/2,A/HRC/RES/4/5,A/HRC/RES/4/6,A/HRC/RES/4/9
ARG,0,1,1,1,0,1,1,1,1,1,1,0
AZE,1,1,1,1,1,1,1,1,1,1,1,1
BGD,0,1,1,1,1,1,1,1,1,1,1,1
BHR,0,1,1,1,1,1,1,1,1,1,1,1
BRA,1,1,1,1,1,1,1,1,1,1,1,0
CAN,0,0,0,0,0,0,0,0,0,0,0,0
CHE,1,0,0,0,0,0,1,0,0,0,0,0
CHN,1,1,1,1,1,1,1,1,1,1,1,1
CMR,1,0,0,3,1,0,0,0,1,1,1,1
CUB,1,1,1,1,1,1,1,1,1,1,1,1
CZE,1,0,0,0,0,0,1,0,0,0,0,0
DEU,1,0,0,0,0,0,1,0,0,0,0,0
DJI,3,3,3,1,1,1,1,1,1,1,1,1
DZA,0,1,1,1,1,1,1,1,1,1,1,1
ECU,1,1,1,1,1,1,1,1,1,1,1,0
FIN,1,0,0,0,0,0,1,0,0,0,0,0
FRA,1,0,0,0,0,0,1,0,0,0,0,0
GAB,3,3,0,1,1,1,1,1,1,1,1,1
GBR,1,0,0,0,0,0,1,0,0,0,0,0
GHA,0,1,0,1,1,1,1,1,1,1,1,0
GTM,1,1,0,0,0,0,1,1,1,1,0,0
IDN,1,1,1,1,1,1,1,1,1,1,1,1
IND,1,1,1,1,1,1,1,1,1,1,1,0
JOR,0,1,1,1,1,1,1,1,1,1,1,1
JPN,1,0,0,0,1,0,1,0,0,0,1,0
KOR,1,0,0,0,0,0,1,1,0,0,1,0
LKA,1,1,1,1,1,1,1,1,1,1,1,1
MAR,0,1,1,1,1,1,1,1,1,1,1,1
MEX,1,0,1,1,0,1,1,1,1,1,1,1
MLI,3,1,1,1,1,1,1,1,1,1,1,1
MUS,1,1,1,1,1,1,1,1,1,1,1,1
MYS,1,1,1,1,1,1,1,1,1,1,1,1
NGA,0,0,0,1,1,1,1,1,1,1,1,0
NLD,1,0,0,0,0,0,1,0,0,0,0,0
PAK,1,1,1,1,1,1,1,1,1,1,1,1
PER,1,1,1,1,0,1,1,1,1,1,1,0
PHL,0,1,0,1,1,1,1,1,1,1,1,1
POL,1,0,0,0,0,0,1,0,0,0,0,0
ROU,1,0,0,0,0,0,1,0,0,0,0,0
RUS,0,1,1,1,1,1,1,1,1,1,1,1
SAU,1,1,1,1,1,1,1,1,1,1,1,1
SEN,0,1,1,1,1,1,1,1,1,1,1,1
TUN,0,1,1,1,1,1,1,1,1,1,1,1
UKR,0,0,0,0,0,0,1,0,0,0,0,0
URY,1,1,1,1,0,1,1,1,1,1,1,0
ZAF,1,1,1,1,1,1,1,1,1,1,1,1
ZMB,1,1,1,1,1,1,1,1,1,1,1,0
