"","session","name","coord1D"
"1",1,"AGO",0.0388945490121841
"2",1,"AUT",-0.68742036819458
"3",1,"BEL",-0.608562886714935
"4",1,"BEN",-0.154581338167191
"5",1,"BFA",-0.075864814221859
"6",1,"BGD",0.350503712892532
"7",1,"BWA",-0.023414621129632
"8",1,"CHE",-0.646836936473846
"9",1,"CHL",-0.307308584451675
"10",1,"CHN",0.948826313018799
"11",1,"CMR",0.643041253089905
"12",1,"COG",0.110581457614899
"13",1,"CRI",-0.315582752227783
"14",1,"CUB",1.01824295520782
"15",1,"CZE",-0.734387040138245
"16",1,"DJI",0.13836744427681
"17",1,"ECU",0.307815313339233
"18",1,"ESP",-0.672763109207153
"19",1,"GTM",-0.241574674844742
"20",1,"HUN",-0.721293330192566
"21",1,"IDN",0.37451446056366
"22",1,"IND",0.414057433605194
"23",1,"ITA",-0.685694634914398
"24",1,"JOR",0.0722817406058311
"25",1,"KGZ",0.470581382513046
"26",1,"KWT",0.402805000543594
"27",1,"LBY",0.200353026390076
"28",1,"MDA",-0.740000069141388
"29",1,"MDV",0.0360262952744961
"30",1,"MEX",-0.341508984565735
"31",1,"MRT",0.276468604803085
"32",1,"MUS",-0.230454072356224
"33",1,"MYS",0.339336931705475
"34",1,"NGA",0.336011707782745
"35",1,"NOR",-0.670034945011139
"36",1,"PER",-0.312422811985016
"37",1,"PHL",0.114616461098194
"38",1,"POL",-0.722661018371582
"39",1,"QAT",0.288296550512314
"40",1,"ROU",-0.723181128501892
"41",1,"RUS",1.01051330566406
"42",1,"SAU",0.351976692676544
"43",1,"SEN",0.177509009838104
"44",1,"THA",0.0156953409314156
"45",1,"UGA",0.739999949932098
"46",1,"URY",-0.295652210712433
"47",1,"USA",-0.949999988079071
"48",2,"AGO",0.0388945490121841
"49",2,"ARE",0.338068008422852
"50",2,"ARG",-0.251965880393982
"51",2,"AUT",-0.695420324802399
"52",2,"BEN",-0.142581343650818
"53",2,"BFA",-0.0398648157715797
"54",2,"BRA",-0.217308595776558
"55",2,"BWA",-0.00741462223231792
"56",2,"CHE",-0.641836941242218
"57",2,"CHL",-0.310165703296661
"58",2,"CIV",-0.0258890856057405
"59",2,"COG",0.214581444859505
"60",2,"CRI",-0.330582767724991
"61",2,"CZE",-0.762958407402039
"62",2,"DEU",-0.719146251678467
"63",2,"ECU",0.227815315127373
"64",2,"ESP",-0.657763123512268
"65",2,"EST",-0.691278696060181
"66",2,"ETH",0.379132688045502
"67",2,"GAB",0.115277633070946
"68",2,"GTM",-0.241574674844742
"69",2,"IDN",0.383403331041336
"70",2,"IND",0.395875632762909
"71",2,"IRL",-0.607281148433685
"72",2,"ITA",-0.681694626808167
"73",2,"JPN",-0.819831728935242
"74",2,"KAZ",0.445175528526306
"75",2,"KEN",0.238359719514847
"76",2,"KOR",-0.723054707050323
"77",2,"KWT",0.402805000543594
"78",2,"LBY",0.235353022813797
"79",2,"MDA",-0.740000069141388
"80",2,"MDV",0.0426929630339146
"81",2,"MNE",-0.675694644451141
"82",2,"MRT",0.316468626260757
"83",2,"MYS",0.369336932897568
"84",2,"PAK",0.494373470544815
"85",2,"PER",-0.320422828197479
"86",2,"PHL",0.124616459012032
"87",2,"POL",-0.702660977840424
"88",2,"QAT",0.288296550512314
"89",2,"ROU",-0.708181142807007
"90",2,"SLE",-0.112541824579239
"91",2,"THA",0.0156953409314156
"92",2,"UGA",0.739999949932098
"93",2,"USA",-0.961111128330231
"94",2,"VEN",0.634436547756195
"95",3,"ARE",0.335568010807037
"96",3,"ARG",-0.251965880393982
"97",3,"AUT",-0.703420341014862
"98",3,"BEN",-0.130581349134445
"99",3,"BFA",-0.00386481080204248
"100",3,"BRA",-0.239308595657349
"101",3,"BWA",0.0085853785276413
"102",3,"CHL",-0.31302285194397
"103",3,"CHN",0.932826340198517
"104",3,"CIV",-0.0147779751569033
"105",3,"COG",0.318581461906433
"106",3,"CRI",-0.345582753419876
"107",3,"CUB",0.994242966175079
"108",3,"CZE",-0.791529893875122
"109",3,"DEU",-0.713146269321442
"110",3,"DZA",0.451607167720795
"111",3,"EST",-0.691278696060181
"112",3,"ETH",0.359132707118988
"113",3,"FRA",-0.770351886749268
"114",3,"GAB",0.107277631759644
"115",3,"GBR",-0.781163454055786
"116",3,"IDN",0.392292231321335
"117",3,"IND",0.377693802118301
"118",3,"IRL",-0.607281148433685
"119",3,"ITA",-0.677694618701935
"120",3,"JPN",-0.799831688404083
"121",3,"KAZ",0.377175569534302
"122",3,"KEN",0.230359718203545
"123",3,"KOR",-0.713054656982422
"124",3,"KWT",0.402805000543594
"125",3,"MAR",0.176089480519295
"126",3,"MDV",0.0493596270680428
"127",3,"MEX",-0.337064534425735
