Country,A/HRC/RES/1/2,A/HRC/DEC/1/106,A/HRC/DEC/1/107,A/HRC/RES/S-1/1,A/HRC/RES/S-2/1,A/HRC/2/L.48,A/HRC/RES/S-3/1,A/HRC/RES/2/1,A/HRC/RES/2/3,A/HRC/RES/2/4,A/HRC/DEC/2/109,A/HRC/DEC/2/115,A/HRC/RES/3/1,A/HRC/RES/3/2,A/HRC/DEC/3/103,A/HRC/RES/4/5,A/HRC/RES/4/6,A/HRC/RES/4/9,A/HRC/DEC/4/103
ARG,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1
AZE,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
BGD,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
BHR,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
BRA,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
CAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
CHE,1,0,0,2,2,1,2,0,2,1,0,0,2,0,0,0,2,0,0
CHN,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
CMR,1,2,1,2,2,3,3,1,2,2,1,3,2,1,1,1,1,1,1
CUB,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
CZE,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0
DEU,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0
DJI,3,3,3,3,3,0,1,1,1,1,1,1,1,1,3,1,1,1,1
DZA,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ECU,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1
FIN,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0
FRA,1,0,0,0,0,1,2,0,2,1,0,0,2,0,0,0,2,0,0
GAB,3,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
GBR,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0
GHA,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1
GTM,1,2,1,1,2,1,2,0,2,1,1,2,1,1,1,1,2,0,1
IDN,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
IND,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1
JOR,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
JPN,1,0,0,0,0,1,2,1,2,1,0,2,2,0,0,0,1,0,0
KOR,1,2,2,2,2,1,2,0,2,1,0,2,1,0,0,0,1,0,2
LKA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MEX,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
MLI,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MUS,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
MYS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
NGA,2,2,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,2,3
NLD,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0
PAK,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
PER,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,1,2,1
PHL,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
POL,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0
ROU,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0
RUS,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SAU,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SEN,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
TUN,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3
UKR,2,0,0,0,0,1,2,0,2,1,0,0,2,2,2,0,2,0,0
URY,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1
ZAF,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ZMB,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1
