Country,A/HRC/RES/49/1,A/HRC/RES/49/2,A/HRC/RES/49/3,A/HRC/RES/49/4,A/HRC/RES/49/6,A/HRC/RES/49/8,A/HRC/RES/49/15,A/HRC/RES/49/18,A/HRC/RES/49/19,A/HRC/RES/49/24,A/HRC/RES/49/26,A/HRC/RES/49/27,A/HRC/RES/49/28,A/HRC/RES/49/29,A/HRC/RES/49/30,A/HRC/RES/49/33,A/HRC/49/L.46,A/HRC/49/L.47,A/HRC/49/L.36,A/HRC/49/L.37,A/HRC/RES/S-34/1,A/HRC/RES/50/2,A/HRC/RES/50/4,A/HRC/RES/50/8,A/HRC/RES/50/10,A/HRC/50/L.48,A/HRC/50/L.25,A/HRC/50/L.26,A/HRC/50/L.27,A/HRC/50/L.28,A/HRC/50/L.29,A/HRC/50/L.30,A/HRC/50/L.31,A/HRC/50/L.32,A/HRC/50/L.33,A/HRC/50/L.34,A/HRC/50/L.35,A/HRC/50/L.36,A/HRC/50/L.37 as orally revised,A/HRC/RES/50/19,A/HRC/RES/50/20,A/HRC/50/L.38,A/HRC/50/L.39,A/HRC/50/L.40,A/HRC/50/L.43,A/HRC/50/L.45,A/HRC/50/L.46,A/HRC/50/L.47,A/HRC/50/L.56,A/HRC/50/L.57,A/HRC/50/L.58,A/HRC/50/L.59,A/HRC/50/L.61,A/HRC/RES/51/1,A/HRC/RES/51/7,A/HRC/RES/51/11,A/HRC/RES/51/13,A/HRC/51/L.43,A/HRC/51/L.44,A/HRC/RES/51/20,A/HRC/RES/51/25,A/HRC/RES/51/26,A/HRC/RES/51/27,A/HRC/RES/51/28,A/HRC/RES/51/29,A/HRC/RES/51/32,A/HRC/51/L.49,A/HRC/51/L.50,A/HRC/51/L.51,A/HRC/51/L.52,A/HRC/51/L.53,A/HRC/51/L.54,A/HRC/51/L.64,A/HRC/51/L.66,A/HRC/RES/S-35/1
IDN,1,2,2,1,1,1,1,1,1,0,2,2,1,1,1,2,1,0,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,4,1,2,1,1,0,1,2,2,1,2,1,1,1,0,0,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2
IND,2,2,2,2,1,1,1,1,1,0,2,2,1,1,1,2,2,2,2,2,2,0,1,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,4,0,0,1,1,0,1,1,1,1,2,1,1,1,2,2,1,2,2,0,2,2,1,1,2,2,2,2,0,1,2,2
JPN,1,1,1,1,0,2,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1
KAZ,2,2,2,1,1,1,1,1,1,0,2,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,0,2,1,4,2,2,2,2,2,2,2,2,2,2,1,1,2,0,0,2,0,2,2,2,2,1,1,2,2,1,2,2,2,2,2
KOR,1,1,1,1,0,2,0,1,0,1,1,1,1,1,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1
LBY,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,4,1,3,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,1
LTU,1,1,1,1,0,2,0,1,0,1,1,1,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1
LUX,1,1,1,1,0,2,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1
MEX,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,1
MHL,1,1,1,2,0,2,2,1,0,1,1,1,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1
