Country,A/HRC/RES/52/1,A/HRC/RES/52/2,A/HRC/RES/52/3,A/HRC/RES/52/13,A/HRC/RES/52/17,A/HRC/RES/52/21,A/HRC/RES/52/27,A/HRC/RES/52/29,A/HRC/RES/52/30,A/HRC/RES/52/32,A/HRC/RES/52/33,A/HRC/RES/52/34,A/HRC/RES/52/35,A/HRC/RES/52/37,A/HRC/RES/52/40,A/HRC/52/L.64,A/HRC/52/L.47,A/HRC/52/L.48,A/HRC/52/L.50,A/HRC/52/L.51,A/HRC/52/L.53,A/HRC/52/L.58,A/HRC/52/L.59,A/HRC/52/L.60,A/HRC/52/L.61,A/HRC/RES/S-36/1,A/HRC/RES/53/1,A/HRC/RES/53/2,A/HRC/RES/53/5,A/HRC/RES/53/11,A/HRC/RES/53/18,A/HRC/RES/53/19,A/HRC/RES/53/22,A/HRC/53/L.31,A/HRC/53/L.32,A/HRC/53/L.41,A/HRC/53/L.45,A/HRC/53/L.42,A/HRC/RES/53/25,A/HRC/RES/53/28,A/HRC/RES/53/30,A/HRC/53/L.33,A/HRC/53/L.40,A/HRC/53/L.43,A/HRC/RES/54/2,A/HRC/RES/54/3,A/HRC/RES/54/4,A/HRC/RES/54/9,A/HRC/RES/54/15,A/HRC/RES/54/18,A/HRC/RES/54/20,A/HRC/RES/54/23,A/HRC/RES/54/27,A/HRC/54/L.40,A/HRC/54/L.41,A/HRC/54/L.42,A/HRC/54/L.43,A/HRC/54/L.47,A/HRC/RES/54/35,A/HRC/54/L.36,A/HRC/54/L.39,A/HRC/54/L.48,A/HRC/54/L.49,A/HRC/54/L.50,A/HRC/54/L.51,A/HRC/54/L.52
CRI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,2,1,0,0,0,1,1,2,1,2,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
CUB,0,0,1,1,1,1,0,0,0,2,1,1,1,1,0,3,1,1,1,3,3,1,1,1,1,0,1,0,1,1,0,0,1,2,3,3,3,3,1,1,0,3,3,3,0,1,1,1,1,1,0,0,1,3,3,3,3,3,3,1,1,1,1,1,1,1
CZE,1,1,2,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DEU,1,1,1,0,2,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DZA,0,0,1,1,1,1,2,2,0,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,0,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2
ERI,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,2,2,2,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,2
FIN,1,1,1,0,2,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
FRA,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GAB,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,0,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2
GBR,1,1,2,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GEO,1,1,2,0,2,0,2,2,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,2,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
GMB,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,3,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
HND,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,0,2,0,0,0,0,2,2,0,0,2,2,1,1,1,1,2,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
IND,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,0,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1
KAZ,2,2,1,1,1,1,0,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,0,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2
KGZ,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,2,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2
LTU,1,1,1,0,2,0,1,1,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
LUX,1,1,1,0,2,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
MAR,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,0,2,2,2,2,2,1,1,1,2,0,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,0,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1
MDV,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,0,2,2,2,2,0,1,1,1,2,2,1,2,1,1,3,2,2,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,1,1,2,2,1,1,1,1,2,1,0,1,1,1,3,3,3,3
MEX,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,2,2,1,2,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MNE,1,1,1,0,2,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MWI,2,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2,2,2,2,1,2,1,1,1,1,1,2,2,2,0,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2
MYS,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,0,1,1,2,1,2,2,1,1,1,0,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2
NPL,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,0,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,0,0,0,0,0,2,1,2,0,0,0,2,1,1,1,1,1,2,2,2,0,0,0,0,0,1,2,2,2,0,0,0,0
PAK,2,2,1,1,1,1,0,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,0,1,0,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1
PRY,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,2,2,1,0,0,0,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0
QAT,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,2,1,1,1,1,0,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,2,1,1,1,1,0,1,1,1,1,1,1,1
ROU,1,1,1,0,2,0,1,1,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
SDN,0,2,1,1,1,1,2,2,2,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1
SEN,0,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,0,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,0,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2
SOM,0,2,1,1,1,1,1,2,2,1,1,1,1,1,2,0,1,1,1,1,2,1,1,1,1,0,1,0,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1
UKR,1,1,2,0,0,0,1,1,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
USA,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,2,2,0,0
UZB,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2
VNM,2,0,0,1,1,1,0,0,0,2,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,0,1,2,1,1,2,0,1,2,2,2,2,2,1,1,2,1,2,2,0,1,1,1,1,1,2,0,1,2,3,3,3,3,2,1,1,1,1,1,1,1
ZAF,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,2,1,0,0,0,0,0,1,1,2,0,0,0,2,1,1,1,1,1,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0
