"","session","name","coord1D"
"1",1,"AGO",0.0488945543766022
"2",1,"AUT",-0.677420377731323
"3",1,"BEL",-0.608562886714935
"4",1,"BEN",-0.154581338167191
"5",1,"BFA",-0.0758648216724396
"6",1,"BGD",0.360503703355789
"7",1,"BWA",-0.0234146229922771
"8",1,"CHE",-0.646836936473846
"9",1,"CHL",-0.307308584451675
"10",1,"CHN",0.958826303482056
"11",1,"CMR",0.643041372299194
"12",1,"COG",0.100581467151642
"13",1,"CRI",-0.315582752227783
"14",1,"CUB",1.0482429265976
"15",1,"CZE",-0.724386990070343
"16",1,"DJI",0.128367453813553
"17",1,"ECU",0.287815302610397
"18",1,"ESP",-0.662763118743896
"19",1,"GTM",-0.241574674844742
"20",1,"HUN",-0.721293210983276
"21",1,"IDN",0.374514400959015
"22",1,"IND",0.414057403802872
"23",1,"ITA",-0.675694644451141
"24",1,"JOR",0.0622817389667034
"25",1,"KGZ",0.490581452846527
"26",1,"KWT",0.412804961204529
"27",1,"LBY",0.200353026390076
"28",1,"MDA",-0.709999978542328
"29",1,"MDV",0.0260262992233038
"30",1,"MEX",-0.341508984565735
"31",1,"MRT",0.276468634605408
"32",1,"MUS",-0.24045418202877
"33",1,"MYS",0.339336931705475
"34",1,"NGA",0.346011698246002
"35",1,"NOR",-0.660034894943237
"36",1,"PER",-0.312422811985016
"37",1,"PHL",0.114616475999355
"38",1,"POL",-0.712660908699036
"39",1,"QAT",0.288296550512314
"40",1,"ROU",-0.703181147575378
"41",1,"RUS",1.05051326751709
"42",1,"SAU",0.351976692676544
"43",1,"SEN",0.177509039640427
"44",1,"THA",0.00569534115493298
"45",1,"UGA",0.749999940395355
"46",1,"URY",-0.295652210712433
"47",1,"USA",-0.930000007152557
"48",2,"AGO",0.0488945543766022
"49",2,"ARE",0.338068068027496
"50",2,"ARG",-0.251965880393982
"51",2,"AUT",-0.689420342445374
"52",2,"BEN",-0.142581343650818
"53",2,"BFA",-0.0398648306727409
"54",2,"BRA",-0.217308595776558
"55",2,"BWA",-0.00741462409496307
"56",2,"CHE",-0.641836941242218
"57",2,"CHL",-0.310165703296661
"58",2,"CIV",-0.0258890893310308
"59",2,"COG",0.21258145570755
"60",2,"CRI",-0.330582767724991
"61",2,"CZE",-0.75581556558609
"62",2,"DEU",-0.719146251678467
"63",2,"ECU",0.217815309762955
"64",2,"ESP",-0.65276312828064
"65",2,"EST",-0.691278696060181
"66",2,"ETH",0.399132668972015
"67",2,"GAB",0.105277627706528
"68",2,"GTM",-0.241574674844742
"69",2,"IDN",0.383403271436691
"70",2,"IND",0.395875573158264
"71",2,"IRL",-0.607281148433685
"72",2,"ITA",-0.675694644451141
"73",2,"JPN",-0.819831728935242
"74",2,"KAZ",0.445175558328629
"75",2,"KEN",0.238359719514847
"76",2,"KOR",-0.723054707050323
"77",2,"KWT",0.412804961204529
"78",2,"LBY",0.235353022813797
"79",2,"MDA",-0.709999978542328
"80",2,"MDV",0.0360262989997864
"81",2,"MNE",-0.675694644451141
"82",2,"MRT",0.316468626260757
"83",2,"MYS",0.369336932897568
"84",2,"PAK",0.494373470544815
"85",2,"PER",-0.320422828197479
"86",2,"PHL",0.124616473913193
"87",2,"POL",-0.69766092300415
"88",2,"QAT",0.288296550512314
"89",2,"ROU",-0.693181157112122
"90",2,"SLE",-0.112541824579239
"91",2,"THA",0.00569534115493298
"92",2,"UGA",0.749999940395355
"93",2,"USA",-0.945555567741394
"94",2,"VEN",0.644436538219452
"95",3,"ARE",0.335568070411682
"96",3,"ARG",-0.251965880393982
"97",3,"AUT",-0.701420366764069
"98",3,"BEN",-0.130581349134445
"99",3,"BFA",-0.00386482570320368
"100",3,"BRA",-0.239308595657349
"101",3,"BWA",0.00858537666499615
"102",3,"CHL",-0.31302285194397
"103",3,"CHN",0.940826296806335
"104",3,"CIV",-0.0147779788821936
"105",3,"COG",0.324581444263458
"106",3,"CRI",-0.345582753419876
"107",3,"CUB",1.02024292945862
"108",3,"CZE",-0.787244141101837
"109",3,"DEU",-0.713146269321442
"110",3,"DZA",0.461607217788696
"111",3,"EST",-0.691278696060181
"112",3,"ETH",0.37513267993927
"113",3,"FRA",-0.770351886749268
"114",3,"GAB",0.101277627050877
"115",3,"GBR",-0.791163504123688
"116",3,"IDN",0.39229217171669
"117",3,"IND",0.377693772315979
"118",3,"IRL",-0.607281148433685
"119",3,"ITA",-0.675694644451141
"120",3,"JPN",-0.799831688404083
"121",3,"KAZ",0.377175569534302
"122",3,"KEN",0.230359718203545
"123",3,"KOR",-0.713054656982422
"124",3,"KWT",0.412804961204529
"125",3,"MAR",0.176089480519295
"126",3,"MDV",0.0460263006389141
