Country,A/HRC/RES/47/11,A/HRC/RES/48/10
ARG,1,1
ARM,0,0
AUT,0,0
BFA,1,1
BGD,1,1
BGR,0,0
BHR,1,1
BHS,0,1
BOL,1,1
BRA,1,0
CHN,1,1
CIV,1,1
CMR,1,1
CUB,1,1
CZE,0,0
DEU,0,0
DNK,0,0
ERI,1,1
FJI,1,1
FRA,0,0
GAB,1,1
GBR,0,0
IDN,1,1
IND,1,1
ITA,0,0
JPN,0,0
KOR,0,0
LBY,1,1
MEX,1,0
MHL,0,0
MRT,1,1
MWI,1,1
NAM,1,1
NLD,0,0
NPL,1,1
PAK,1,1
PHL,1,1
POL,0,0
RUS,1,1
SDN,1,1
SEN,1,1
SOM,1,1
TGO,1,1
UKR,0,0
URY,1,0
UZB,1,1
VEN,1,1
