Country,A/HRC/RES/49/8,A/HRC/RES/51/7
ARE,1,1
ARG,1,1
ARM,1,0
BEN,1,1
BOL,1,1
BRA,1,0
CHN,1,1
CIV,1,1
CMR,1,1
CUB,1,1
CZE,4,0
DEU,0,0
ERI,1,1
FIN,0,0
FRA,0,0
GAB,1,1
GBR,0,0
GMB,1,1
HND,1,1
IDN,1,1
IND,1,1
JPN,0,0
KAZ,1,1
KOR,0,0
LBY,1,1
LTU,0,0
LUX,0,0
MEX,1,0
MHL,0,0
MNE,0,0
MRT,1,1
MWI,1,1
MYS,1,1
NAM,1,1
NLD,0,0
NPL,1,1
PAK,1,1
POL,0,0
PRY,1,1
QAT,1,1
RUS,1,4
SDN,1,1
SEN,1,1
SOM,1,1
UKR,0,0
USA,0,0
UZB,1,1
VEN,1,1
