Country,A/HRC/RES/12/23,A/HRC/RES/15/25,A/HRC/RES/18/26,A/HRC/RES/19/34,A/HRC/RES/21/32,A/HRC/RES/24/4,A/HRC/RES/27/2,A/HRC/29/L.37,A/HRC/29/L.38,A/HRC/29/L.39,A/HRC/29/L.40,A/HRC/RES/31/4,A/HRC/RES/33/14,A/HRC/RES/35/21,A/HRC/RES/36/9,A/HRC/RES/39/9,A/HRC/RES/41/19,A/HRC/RES/42/23,A/HRC/RES/45/6,A/HRC/RES/47/11,A/HRC/RES/48/10,A/HRC/RES/49/8,A/HRC/RES/51/7,A/HRC/RES/53/28,A/HRC/RES/54/18,A/HRC/RES/57/19
HRV,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4
HUN,0,1,1,1,1,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4
IDN,1,4,1,1,1,1,1,1,0,4,0,1,1,1,1,4,4,4,1,1,1,1,1,4,4,1
IND,1,4,1,1,1,1,1,1,0,4,0,1,1,1,1,4,1,1,1,1,1,1,1,0,1,1
IRL,4,4,4,4,4,1,1,0,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
IRQ,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4
ISL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4
ITA,0,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4
JOR,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
JPN,0,1,4,4,4,1,0,0,1,4,1,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0
KAZ,4,4,4,4,4,1,1,1,0,4,0,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
KEN,4,4,4,4,4,1,1,1,0,4,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
KGZ,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1
KOR,0,1,4,4,4,1,0,0,1,4,1,0,0,0,0,0,4,4,0,0,0,0,0,4,4,4
KWT,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
LBY,4,1,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4
LTU,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
LUX,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
LVA,4,4,4,4,4,4,4,0,1,4,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4
MAR,4,4,4,4,4,4,1,1,0,4,0,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1
MDA,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MDG,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MDV,4,1,1,1,1,1,1,1,0,4,0,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1
MEX,1,1,1,1,1,4,1,0,1,4,1,1,1,4,4,0,1,0,0,1,0,1,0,1,0,4
MHL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
MKD,4,4,4,4,4,4,0,0,0,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4
MNE,4,4,4,4,4,1,1,0,1,4,1,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0
MNG,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
MRT,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4
MUS,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MWI,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1
MYS,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
NAM,4,4,4,4,4,4,1,1,0,4,0,1,1,4,4,4,4,4,1,1,1,1,1,4,4,4
NGA,1,1,1,1,1,4,4,1,0,4,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4
NIC,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
NLD,0,4,4,4,4,4,4,0,1,4,1,0,0,0,0,4,4,4,0,0,0,0,0,4,4,0
NOR,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
NPL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4
PAK,1,1,4,4,4,1,1,1,0,4,0,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4
PAN,4,4,4,4,4,4,4,4,4,4,4,1,1,0,3,0,4,4,4,4,4,4,4,4,4,4
PER,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,0,1,4,4,4,4,4,4,4
PHL,1,4,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4
POL,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
PRT,4,4,4,4,4,4,4,0,1,4,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4
PRY,4,4,4,4,4,4,4,0,1,4,1,1,1,3,1,4,4,4,4,4,4,1,1,0,0,0
QAT,1,1,1,1,1,1,4,1,0,4,0,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1
ROU,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0
RUS,1,1,1,1,1,4,1,1,0,4,0,1,1,4,4,4,4,4,4,1,1,1,4,4,4,4
RWA,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4
SAU,1,1,1,1,1,4,1,1,0,4,0,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
SDN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1
SEN,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4
SLE,4,4,4,4,4,1,1,0,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SLV,4,4,4,4,4,4,4,1,0,4,0,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
SOM,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
SVK,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,4,4,4,4,4,4,4
SVN,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4
TGO,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4
THA,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
TUN,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4
UGA,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
UKR,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,0,0,0,0,0,0,0,0,4
URY,1,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,0,0,1,0,4,4,4,4,4
USA,0,0,0,0,0,0,0,0,1,4,1,4,4,0,0,4,4,4,4,4,4,0,0,0,0,0
UZB,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4
VEN,4,4,4,4,4,1,1,1,0,4,0,1,1,1,1,1,4,4,1,1,1,1,1,4,4,4
VNM,4,4,4,4,4,4,1,0,0,4,0,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1
ZAF,1,4,4,4,4,4,1,0,1,4,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1
ZMB,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
