Country,A/HRC/RES/15/25
AGO,1
ARG,1
BEL,1
BFA,1
BGD,1
BHR,1
BRA,1
CHE,1
CHL,1
CHN,1
CMR,1
CUB,1
DJI,1
ECU,1
ESP,1
FRA,1
GAB,1
GBR,1
GHA,1
GTM,1
HUN,1
JOR,1
JPN,1
KGZ,1
KOR,1
LBY,1
MDA,1
MDV,1
MEX,1
MRT,1
MUS,1
MYS,1
NGA,1
NOR,1
PAK,1
POL,1
QAT,1
RUS,1
SAU,1
SEN,1
SVK,1
THA,1
UGA,1
UKR,1
URY,3
USA,0
ZMB,1
