Country,A/HRC/RES/45/6
AFG,1
AGO,1
ARG,1
ARM,0
AUS,0
AUT,0
BFA,1
BGD,1
BGR,0
BHR,1
BHS,1
BRA,0
CHL,0
CMR,1
COD,1
CZE,0
DEU,0
DNK,0
ERI,1
ESP,0
FJI,1
IDN,1
IND,1
ITA,0
JPN,0
KOR,0
LBY,1
MEX,0
MHL,0
MRT,1
NAM,1
NGA,1
NLD,0
NPL,1
PAK,1
PER,1
PHL,1
POL,0
QAT,1
SDN,1
SEN,1
SOM,1
SVK,0
TGO,1
UKR,0
URY,0
VEN,1
