Country,A/HRC/RES/53/28,A/HRC/RES/54/18
ARE,1,1
ARG,1,0
BEL,0,0
BEN,1,1
BGD,1,1
BOL,1,1
CHL,0,0
CHN,1,1
CIV,1,1
CMR,1,1
CRI,0,0
CUB,1,1
CZE,0,0
DEU,0,0
DZA,1,1
ERI,1,1
FIN,0,0
FRA,0,0
GAB,1,1
GBR,0,0
GEO,0,0
GMB,1,1
HND,1,1
IND,0,1
KAZ,1,1
KGZ,1,1
LTU,0,0
LUX,0,0
MAR,1,1
MDV,1,1
MEX,1,0
MNE,0,0
MWI,1,1
MYS,1,1
NPL,1,1
PAK,1,1
PRY,0,0
QAT,1,1
ROU,0,0
SDN,1,1
SEN,1,1
SOM,1,1
UKR,0,0
USA,0,0
UZB,1,1
VNM,1,1
ZAF,1,1
