Country,A/HRC/RES/24/4
AGO,1
ARE,1
ARG,1
AUT,1
BEN,1
BFA,1
BRA,1
BWA,1
CHE,1
CHL,1
CIV,1
COG,1
CRI,1
CZE,1
DEU,1
ECU,1
ESP,1
EST,1
ETH,1
GAB,1
GTM,1
IDN,1
IND,1
IRL,1
ITA,1
JPN,1
KAZ,1
KEN,1
KOR,1
KWT,1
LBY,1
MDA,1
MDV,1
MNE,1
MRT,1
MYS,1
PAK,1
PER,1
PHL,1
POL,1
QAT,1
ROU,1
SLE,1
THA,1
UGA,1
USA,0
VEN,1
