Country,A/HRC/RES/12/23
AGO,1
ARG,1
BEL,0
BFA,1
BGD,1
BHR,1
BIH,0
BOL,1
BRA,1
CHL,1
CHN,1
CMR,1
CUB,1
DJI,1
EGY,1
FRA,0
GAB,1
GBR,0
GHA,1
HUN,0
IDN,1
IND,1
ITA,0
JOR,1
JPN,0
KGZ,1
KOR,0
MDG,1
MEX,1
MUS,1
NGA,1
NIC,1
NLD,0
NOR,0
PAK,1
PHL,1
QAT,1
RUS,1
SAU,1
SEN,1
SVK,0
SVN,0
UKR,0
URY,1
USA,0
ZAF,1
ZMB,1
