Country,A/HRC/RES/39/9
AFG,1
AGO,1
ARE,1
AUS,0
BDI,1
BEL,0
BRA,1
CHE,0
CHL,1
CHN,1
CIV,1
COD,1
CUB,1
DEU,0
ECU,1
EGY,1
ESP,0
ETH,1
GBR,0
GEO,0
HRV,0
HUN,0
IRQ,1
ISL,0
JPN,0
KEN,1
KGZ,1
KOR,0
MEX,0
MNG,1
NGA,1
NPL,1
PAK,1
PAN,0
PER,1
PHL,1
QAT,1
RWA,1
SAU,1
SEN,1
SVK,0
SVN,0
TGO,1
TUN,1
UKR,0
VEN,1
ZAF,1
