Country,A/HRC/RES/31/4,A/HRC/RES/33/14
ALB,0,0
ARE,1,1
BDI,1,1
BEL,0,0
BGD,1,1
BOL,1,1
BWA,1,1
CHE,0,0
CHN,1,1
CIV,1,1
COG,1,1
CUB,1,1
DEU,0,0
DZA,1,1
ECU,1,1
ETH,1,1
FRA,0,0
GBR,0,0
GEO,0,0
GHA,1,1
IDN,1,1
IND,1,1
KEN,1,1
KGZ,1,1
KOR,0,0
LVA,0,0
MAR,1,1
MDV,1,1
MEX,1,1
MKD,0,0
MNG,1,1
NAM,1,1
NGA,1,1
NLD,0,0
PAN,1,1
PHL,1,1
PRT,0,0
PRY,1,1
QAT,1,1
RUS,1,1
SAU,1,1
SLV,1,1
SVN,0,0
TGO,1,1
VEN,1,1
VNM,1,1
ZAF,1,1
