Country,A/HRC/RES/35/21,A/HRC/RES/36/9
ALB,0,0
ARE,1,1
BDI,1,1
BEL,0,0
BGD,1,1
BOL,1,1
BRA,1,1
BWA,1,1
CHE,0,0
CHN,1,1
CIV,1,1
COG,1,1
CUB,1,1
DEU,0,0
ECU,1,1
EGY,1,1
ETH,1,1
GBR,0,0
GEO,0,0
GHA,1,1
HRV,0,0
HUN,0,0
IDN,1,1
IND,1,1
IRQ,1,1
JPN,0,0
KEN,1,1
KGZ,1,1
KOR,0,0
LVA,0,0
MNG,1,1
NGA,1,1
NLD,0,0
PAN,0,3
PHL,1,1
PRT,0,0
PRY,3,1
QAT,1,1
RWA,1,1
SAU,1,1
SLV,1,1
SVN,0,0
TGO,1,1
TUN,1,1
USA,0,0
VEN,1,1
ZAF,1,1
