Country,A/HRC/RES/41/19,A/HRC/RES/42/23
AFG,1,1
AGO,1,1
ARG,1,0
AUS,0,0
AUT,0,0
BFA,1,1
BGD,1,1
BGR,0,0
BHR,1,1
BHS,1,1
BRA,1,0
CHL,1,0
CHN,1,1
CMR,1,1
COD,1,1
CUB,1,1
CZE,0,0
DNK,0,0
EGY,1,1
ERI,1,1
ESP,0,0
FJI,1,1
GBR,0,0
HRV,0,0
HUN,0,0
IND,1,1
IRQ,1,1
ISL,0,0
ITA,0,0
JPN,0,0
MEX,1,0
NGA,1,1
NPL,1,1
PAK,1,1
PER,1,0
PHL,1,1
QAT,1,1
RWA,1,1
SAU,1,1
SEN,1,1
SOM,1,1
SVK,0,0
TGO,1,1
TUN,1,1
UKR,3,0
URY,1,0
ZAF,1,1
