Country,A/HRC/RES/57/19
ALB,0
ARE,1
ARG,0
BDI,1
BEL,0
BEN,1
BGD,1
BGR,0
BRA,1
CHL,0
CHN,1
CIV,1
CMR,1
CRI,0
CUB,1
DEU,0
DOM,1
DZA,1
ERI,1
FIN,0
FRA,0
GEO,0
GHA,1
GMB,1
HND,1
IDN,1
IND,1
JPN,0
KAZ,1
KGZ,1
KWT,1
LTU,0
LUX,0
MAR,1
MDV,1
MNE,0
MWI,1
MYS,1
NLD,0
PRY,0
QAT,1
ROU,0
SDN,1
SOM,1
USA,0
VNM,1
ZAF,1
