Resolution,Date,Summary
A/HRC/RES/35/21,2017/06/22,The contribution of development to the enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 35th session
A/HRC/RES/36/9,2017/09/28,The right to development :resolution /adopted by the Human Rights Council at its 36th session
