Resolution,Date,Summary
A/HRC/RES/9/2,2008/09/24,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 9th session
A/HRC/RES/9/4,2008/09/24,Human rights and unilateral coercive measures :resolution /adopted by the Human Rights Council at its 9th session
A/HRC/RES/9/18,2008/09/24,Follow-up to resolution S-3/1 : human rights violations emanating from Israeli military incursions in the Occupied Palestinian Territory and the shelling of Beit Hanoun :resolution /adopted by the Human Rights Council at its 9th session
A/HRC/RES/S-9/1,2009/01/12,"The grave violations of human rights in the Occupied Palestinian Territory, particularly due to the recent Israeli military attacks against the occupied Gaza Strip :resolution /adopted by the Human Rights Council at its 9th special session"
A/HRC/RES/S-10/1,2009/02/23,The impact of the global economic and financial crises on the universal realization and effective enjoyment of human rights :resolution /adopted by the Human Rights Council at its 10th special session
A/HRC/RES/10/5,2009/03/26,Composition of staff of the Office of the United Nations High Commissioner for Human Rights :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/RES/10/11,2009/03/26,The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/RES/10/16,2009/03/26,Situation of human rights in the Democratic People’s Republic of Korea :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/RES/10/17,2009/03/26,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/RES/10/18,2009/03/26,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 10th session"
A/HRC/RES/10/19,2009/03/26,Human rights violations emanating from the Israeli military attacks and operations in the Occupied Palestinian Territory :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/RES/10/21,2009/03/26,"Follow-up to Council resolution S-9/1 on the grave violations of human rights in the Occupied Palestinian Territory, particularly due to the recent Israeli military attacks against the occupied Gaza Strip :resolution /adopted by the Human Rights Council at its 10th session"
A/HRC/RES/10/22,2009/03/26,Combating defamation of religions :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/RES/10/24,2009/03/27,"Torture and other cruel, inhuman or degrading treatment or punishment : the role and responsibility of medical and other health personnel :resolution /adopted by the Human Rights Council at its 10th session"
A/HRC/RES/10/25,2009/03/27,"Discrimination based on religion or belief and its impact on the enjoyment of economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 10th session"
A/HRC/RES/10/30,2009/03/27,Elaboration of complementary standards to the International Convention on the Elimination of All Forms of Racial Discrimination :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/RES/10/33,2009/03/27,Situation of human rights in the Democratic Republic of the Congo and the strengthening of technical cooperation and consultative services :resolution /adopted by the Human Rights Council at its 10th session
A/HRC/DEC/10/117,2009/03/27,Publication of reports completed by the Subcommission on the Promotion and Protection of Human Rights :decision /adopted by the Human Rights Council at its 10th session
A/HRC/RES/S-11/1,2009/05/27,Assistance to Sri Lanka in the promotion and protection of human rights :resolution /adopted by the Human Rights Council at its 11th special session
