Country,A/HRC/2/L.48
ARG,1
AZE,0
BGD,0
BHR,0
BRA,0
CAN,1
CHE,1
CHN,0
CMR,3
CUB,0
CZE,1
DEU,1
DJI,0
DZA,0
ECU,1
FIN,1
FRA,1
GAB,0
GBR,1
GHA,1
GTM,1
IDN,0
IND,0
JOR,0
JPN,1
KOR,1
LKA,0
MAR,0
MEX,1
MLI,0
MUS,0
MYS,0
NGA,0
NLD,1
PAK,0
PER,1
PHL,0
POL,1
ROU,1
RUS,0
SAU,0
SEN,0
TUN,0
UKR,1
URY,1
ZAF,0
ZMB,0
