Country,A/HRC/49/L.46,A/HRC/49/L.47,A/HRC/49/L.36,A/HRC/49/L.37,A/HRC/50/L.48,A/HRC/50/L.25,A/HRC/50/L.26,A/HRC/50/L.27,A/HRC/50/L.28,A/HRC/50/L.29,A/HRC/50/L.30,A/HRC/50/L.31,A/HRC/50/L.32,A/HRC/50/L.33,A/HRC/50/L.34,A/HRC/50/L.35,A/HRC/50/L.36,A/HRC/50/L.37 as orally revised,A/HRC/50/L.38,A/HRC/50/L.39,A/HRC/50/L.40,A/HRC/50/L.43,A/HRC/50/L.45,A/HRC/50/L.46,A/HRC/50/L.47,A/HRC/50/L.56,A/HRC/50/L.57,A/HRC/50/L.58,A/HRC/50/L.59,A/HRC/50/L.61,A/HRC/51/L.43,A/HRC/51/L.44,A/HRC/51/L.49,A/HRC/51/L.50,A/HRC/51/L.51,A/HRC/51/L.52,A/HRC/51/L.53,A/HRC/51/L.54,A/HRC/51/L.64,A/HRC/51/L.66
MWI,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,4,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0
NAM,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PAK,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,4,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0
RUS,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SDN,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,1,3,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UZB,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEN,3,3,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1
